D,symbol,cid,status,rank,sector
2020-06-01,COROMANDEL,COROMANDEL,new,8,Fertilisers
2020-06-01,MPHASIS,MPHASIS,new,9,Computers - Software
2020-08-17,COROMANDEL,COROMANDEL,kept,1,Fertilisers
2020-08-17,TORNTPOWER,TORNTPOWER,kept,4,Power
2020-08-17,PIIND,PIIND,kept,9,Pesticides And Agrochemicals
2020-08-17,POWERGRID,POWERGRID,kept,15,Power
2020-08-17,ALKEM,ALKEM,kept,17,
2020-08-17,HCLTECH,HCLTECH,new,2,Computers - Software
2020-08-17,POLYPLEX,POLYPLEX,new,3,Packaging
2020-08-17,CHAMBLFERT,CHAMBLFERT,new,5,Fertilisers
2020-08-17,CADILAHC,ZYDUSLIFE,new,6,
2020-08-17,LTI,LTM,new,7,
2020-11-17,CADILAHC,ZYDUSLIFE,kept,3,
2020-11-17,PIIND,PIIND,kept,11,Pesticides And Agrochemicals
2020-11-17,HCLTECH,HCLTECH,kept,13,Computers - Software
2020-11-17,LTI,LTM,kept,20,
2020-11-17,UFLEX,UFLEX,new,1,Packaging
2020-11-17,JKCEMENT,JKCEMENT,new,2,Cement And Cement Products
2020-11-17,EVEREADY,EVEREADY,new,4,Electrical Equipment
2020-11-17,KELLTONTEC,KELLTONTEC,new,5,
2020-11-17,JINDALPOLY,JINDALPOLY,new,6,Packaging
2020-11-17,INDSWFTLAB,INDSWFTLAB,new,7,Pharmaceuticals
2021-02-15,UFLEX,UFLEX,kept,1,Packaging
2021-02-15,INDSWFTLAB,INDSWFTLAB,kept,3,Pharmaceuticals
2021-02-15,EVEREADY,EVEREADY,kept,6,Electrical Equipment
2021-02-15,JINDALPOLY,JINDALPOLY,kept,11,Packaging
2021-02-15,HCLTECH,HCLTECH,kept,12,Computers - Software
2021-02-15,JKCEMENT,JKCEMENT,kept,15,Cement And Cement Products
2021-02-15,GPIL,GPIL,new,2,Steel And Steel Products
2021-02-15,STEELXIND,STEELXIND,new,4,
2021-02-15,KNRCON,KNRCON,new,5,Construction
2021-02-15,TATASTLBSL,TATASTLBSL,new,7,
2021-06-01,TATASTLBSL,TATASTLBSL,kept,1,
2021-06-01,GPIL,GPIL,kept,2,Steel And Steel Products
2021-06-01,UFLEX,UFLEX,kept,12,Packaging
2021-06-01,VEDL,VEDL,new,3,
2021-06-01,JSWSTEEL,JSWSTEEL,new,4,Steel And Steel Products
2021-06-01,TATASTEEL,TATASTEEL,new,5,Steel And Steel Products
2021-06-01,COSMOFILMS,COSMOFIRST,new,7,
2021-06-01,SALASAR,SALASAR,new,10,
2021-06-01,GULPOLY,GULPOLY,new,11,
2021-06-01,DALBHARAT,DALBHARAT,new,13,
2021-08-16,TATASTEEL,TATASTEEL,kept,1,Steel And Steel Products
2021-08-16,TATASTLBSL,TATASTLBSL,kept,2,
2021-08-16,JSWSTEEL,JSWSTEEL,kept,4,Steel And Steel Products
2021-08-16,INEOSSTYRO,STYRENIX,new,3,
2021-08-16,GRASIM,GRASIM,new,5,Cement And Cement Products
2021-08-16,HGINFRA,HGINFRA,new,6,
2021-08-16,SHIVAMILLS,SHIVAMILLS,new,7,
2021-08-16,SUPPETRO,SPLPETRO,new,8,Petrochemicals
2021-08-16,NITINSPIN,NITINSPIN,new,9,Textiles - Cotton
2021-08-16,GHCL,GHCL,new,10,Chemicals - Inorganic
2021-11-15,TATASTLBSL,TATASTLBSL,kept,3,
2021-11-15,TATASTEEL,TATASTEEL,kept,4,Steel And Steel Products
2021-11-15,NITINSPIN,NITINSPIN,kept,8,Textiles - Cotton
2021-11-15,HGINFRA,HGINFRA,kept,11,
2021-11-15,JSWSTEEL,JSWSTEEL,kept,12,Steel And Steel Products
2021-11-15,GHCL,GHCL,kept,16,Chemicals - Inorganic
2021-11-15,OIL,OIL,new,1,Oil Exploration/Production
2021-11-15,VEDL,VEDL,new,2,
2021-11-15,ONGC,ONGC,new,5,Oil Exploration/Production
2021-11-15,HINDALCO,HINDALCO,new,6,Aluminium
2022-02-15,NITINSPIN,NITINSPIN,kept,2,Textiles - Cotton
2022-02-15,OIL,OIL,kept,6,Oil Exploration/Production
2022-02-15,ONGC,ONGC,kept,8,Oil Exploration/Production
2022-02-15,TATASTEEL,TATASTEEL,kept,9,Steel And Steel Products
2022-02-15,VEDL,VEDL,kept,12,
2022-02-15,JSWSTEEL,JSWSTEEL,kept,13,Steel And Steel Products
2022-02-15,HINDALCO,HINDALCO,kept,17,Aluminium
2022-02-15,MAHSEAMLES,MAHSEAMLES,new,1,Steel And Steel Products
2022-02-15,DCMNVL,DCMNVL,new,3,
2022-02-15,PRECOT,PRECOT,new,4,Textiles - Cotton
2022-06-01,ONGC,ONGC,kept,3,Oil Exploration/Production
2022-06-01,NITINSPIN,NITINSPIN,kept,6,Textiles - Cotton
2022-06-01,OIL,OIL,kept,8,Oil Exploration/Production
2022-06-01,MAHSEAMLES,MAHSEAMLES,kept,10,Steel And Steel Products
2022-06-01,HINDALCO,HINDALCO,kept,15,Aluminium
2022-06-01,DCMNVL,DCMNVL,kept,18,
2022-06-01,POLYPLEX,POLYPLEX,new,1,Packaging
2022-06-01,UFLEX,UFLEX,new,2,Packaging
2022-06-01,NTPC,NTPC,new,4,Power
2022-06-01,AURIONPRO,AURIONPRO,new,5,Computers - Software
2022-08-16,NTPC,NTPC,kept,1,Power
2022-08-16,MAHSEAMLES,MAHSEAMLES,kept,4,Steel And Steel Products
2022-08-16,UFLEX,UFLEX,kept,12,Packaging
2022-08-16,POLYPLEX,POLYPLEX,kept,20,Packaging
2022-08-16,ITC,ITC,new,2,Cigarettes
2022-08-16,RITES,RITES,new,3,
2022-08-16,POWERGRID,POWERGRID,new,5,Power
2022-08-16,GESHIP,GESHIP,new,6,Shipping
2022-08-16,COALINDIA,COALINDIA,new,7,Mining
2022-08-16,EIDPARRY,EIDPARRY,new,8,Sugar
2022-11-15,MAHSEAMLES,MAHSEAMLES,kept,1,Steel And Steel Products
2022-11-15,GESHIP,GESHIP,kept,3,Shipping
2022-11-15,ITC,ITC,kept,4,Cigarettes
2022-11-15,COALINDIA,COALINDIA,kept,5,Mining
2022-11-15,NTPC,NTPC,kept,6,Power
2022-11-15,UFLEX,UFLEX,kept,10,Packaging
2022-11-15,POWERGRID,POWERGRID,kept,16,Power
2022-11-15,EIDPARRY,EIDPARRY,kept,17,Sugar
2022-11-15,ANDHRAPAP,ANDHRAPAP,new,2,
2022-11-15,STARPAPER,STARPAPER,new,7,Paper And Paper Products
2023-02-15,ANDHRAPAP,ANDHRAPAP,kept,1,
2023-02-15,NTPC,NTPC,kept,2,Power
2023-02-15,GESHIP,GESHIP,kept,3,Shipping
2023-02-15,COALINDIA,COALINDIA,kept,4,Mining
2023-02-15,MAHSEAMLES,MAHSEAMLES,kept,13,Steel And Steel Products
2023-02-15,ITC,ITC,kept,16,Cigarettes
2023-02-15,STARPAPER,STARPAPER,kept,20,Paper And Paper Products
2023-02-15,SHRIPISTON,SHRIPISTON,new,5,
2023-02-15,JKPAPER,JKPAPER,new,6,Paper And Paper Products
2023-02-15,M&M,M&M,new,7,Automobiles - 4 Wheelers
2023-06-01,M&M,M&M,kept,2,Automobiles - 4 Wheelers
2023-06-01,ANDHRAPAP,ANDHRAPAP,kept,8,
2023-06-01,GESHIP,GESHIP,kept,12,Shipping
2023-06-01,MAHSEAMLES,MAHSEAMLES,kept,13,Steel And Steel Products
2023-06-01,ITC,ITC,kept,14,Cigarettes
2023-06-01,HGINFRA,HGINFRA,new,1,
2023-06-01,NCC,NCC,new,3,Construction
2023-06-01,ZYDUSLIFE,ZYDUSLIFE,new,4,
2023-06-01,INDRAMEDCO,INDRAMEDCO,new,5,Miscellaneous
2023-06-01,ANANDRATHI,ANANDRATHI,new,6,
2023-08-16,ZYDUSLIFE,ZYDUSLIFE,kept,1,
2023-08-16,HGINFRA,HGINFRA,kept,3,
2023-08-16,M&M,M&M,kept,4,Automobiles - 4 Wheelers
2023-08-16,NCC,NCC,kept,5,Construction
2023-08-16,INDRAMEDCO,INDRAMEDCO,kept,11,Miscellaneous
2023-08-16,PRAKASH,PRAKASH,new,2,Steel And Steel Products
2023-08-16,TATAMOTORS,TMPV,new,6,
2023-08-16,VINDHYATEL,VINDHYATEL,new,7,Cables - Telecom
2023-08-16,VENUSPIPES,VENUSPIPES,new,8,
2023-08-16,BHARTIARTL,BHARTIARTL,new,9,Telecommunication - Services
2023-11-15,TATAMOTORS,TMPV,kept,2,
2023-11-15,HGINFRA,HGINFRA,kept,4,
2023-11-15,PRAKASH,PRAKASH,kept,16,Steel And Steel Products
2023-11-15,ANANDRATHI,ANANDRATHI,new,1,
2023-11-15,ASHOKA,ASHOKA,new,3,Construction
2023-11-15,AUROPHARMA,AUROPHARMA,new,5,Pharmaceuticals
2023-11-15,CONTROLPR,CONTROLPR,new,6,
2023-11-15,GULFOILLUB,GULFOILLUB,new,7,
2023-11-15,OIL,OIL,new,8,Oil Exploration/Production
2023-11-15,CYIENT,CYIENT,new,9,
2024-02-15,AUROPHARMA,AUROPHARMA,kept,1,Pharmaceuticals
2024-02-15,TATAMOTORS,TMPV,kept,4,
2024-02-15,ANANDRATHI,ANANDRATHI,kept,6,
2024-02-15,GPTINFRA,GPTINFRA,new,2,
2024-02-15,BAJAJ-AUTO,BAJAJ-AUTO,new,3,Automobiles - 2 And 3 Wheelers
2024-02-15,NAM-INDIA,NAM-INDIA,new,5,
2024-02-15,JSL,JSL,new,7,Steel And Steel Products
2024-02-15,GATEWAY,GATEWAY,new,8,
2024-02-15,CHOICEIN,CHOICEIN,new,9,
2024-02-15,RKFORGE,RKFORGE,new,10,Castings/Forgings
2024-06-03,TATAMOTORS,TMPV,kept,2,
2024-06-03,BAJAJ-AUTO,BAJAJ-AUTO,kept,5,Automobiles - 2 And 3 Wheelers
2024-06-03,NAM-INDIA,NAM-INDIA,kept,6,
2024-06-03,AUROPHARMA,AUROPHARMA,kept,9,Pharmaceuticals
2024-06-03,ANANDRATHI,ANANDRATHI,kept,13,
2024-06-03,SMCGLOBAL,SMCGLOBAL,new,1,
2024-06-03,TVSHLTD,TVSHLTD,new,3,
2024-06-03,NTPC,NTPC,new,4,Power
2024-06-03,ASHOKA,ASHOKA,new,7,Construction
2024-06-03,LGBBROSLTD,LGBBROSLTD,new,8,Auto Ancillaries
2024-08-16,BAJAJ-AUTO,BAJAJ-AUTO,kept,2,Automobiles - 2 And 3 Wheelers
2024-08-16,ANANDRATHI,ANANDRATHI,kept,5,
2024-08-16,ASHOKA,ASHOKA,kept,7,Construction
2024-08-16,NAM-INDIA,NAM-INDIA,kept,9,
2024-08-16,NTPC,NTPC,kept,12,Power
2024-08-16,TATAMOTORS,TMPV,kept,16,
2024-08-16,ELECTHERM,ELECTHERM,new,1,Steel And Steel Products
2024-08-16,OIL,OIL,new,3,Oil Exploration/Production
2024-08-16,DJML,DJML,new,4,
2024-08-16,HEROMOTOCO,HEROMOTOCO,new,6,Automobiles - 2 And 3 Wheelers
2024-11-18,BAJAJ-AUTO,BAJAJ-AUTO,kept,4,Automobiles - 2 And 3 Wheelers
2024-11-18,HEROMOTOCO,HEROMOTOCO,kept,8,Automobiles - 2 And 3 Wheelers
2024-11-18,ANANDRATHI,ANANDRATHI,kept,10,
2024-11-18,NTPC,NTPC,kept,17,Power
2024-11-18,NATCOPHARM,NATCOPHARM,new,1,Pharmaceuticals
2024-11-18,M&M,M&M,new,2,Automobiles - 4 Wheelers
2024-11-18,VEDL,VEDL,new,3,
2024-11-18,FIEMIND,FIEMIND,new,5,Auto Ancillaries
2024-11-18,MOTHERSON,MOTHERSON,new,6,
2024-11-18,BHARTIARTL,BHARTIARTL,new,7,Telecommunication - Services
2025-02-17,VEDL,VEDL,kept,2,
2025-02-17,BHARTIARTL,BHARTIARTL,kept,4,Telecommunication - Services
2025-02-17,M&M,M&M,kept,5,Automobiles - 4 Wheelers
2025-02-17,FIEMIND,FIEMIND,kept,11,Auto Ancillaries
2025-02-17,RKFORGE,RKFORGE,new,1,Castings/Forgings
2025-02-17,TCPLPACK,TCPLPACK,new,3,
2025-02-17,PITTIENG,PITTIENG,new,6,
2025-02-17,SWARAJENG,SWARAJENG,new,7,Diesel Engines
2025-02-17,NESCO,NESCO,new,8,Miscellaneous
2025-02-17,EIDPARRY,EIDPARRY,new,9,Sugar
2025-06-02,BHARTIARTL,BHARTIARTL,kept,1,Telecommunication - Services
2025-06-02,FIEMIND,FIEMIND,kept,4,Auto Ancillaries
2025-06-02,SWARAJENG,SWARAJENG,kept,6,Diesel Engines
2025-06-02,M&M,M&M,kept,9,Automobiles - 4 Wheelers
2025-06-02,VEDL,VEDL,kept,14,
2025-06-02,EIDPARRY,EIDPARRY,kept,17,Sugar
2025-06-02,HINDALCO,HINDALCO,new,2,Aluminium
2025-06-02,DRREDDY,DRREDDY,new,3,Pharmaceuticals
2025-06-02,LUPIN,LUPIN,new,5,Pharmaceuticals
2025-06-02,EICHERMOT,EICHERMOT,new,7,Automobiles - 4 Wheelers
2025-08-18,BHARTIARTL,BHARTIARTL,kept,1,Telecommunication - Services
2025-08-18,EIDPARRY,EIDPARRY,kept,2,Sugar
2025-08-18,FIEMIND,FIEMIND,kept,4,Auto Ancillaries
2025-08-18,HINDALCO,HINDALCO,kept,5,Aluminium
2025-08-18,M&M,M&M,kept,7,Automobiles - 4 Wheelers
2025-08-18,EICHERMOT,EICHERMOT,kept,17,Automobiles - 4 Wheelers
2025-08-18,NESCO,NESCO,new,3,Miscellaneous
2025-08-18,RELIANCE,RELIANCE,new,6,Refineries
2025-08-18,SSWL,SSWL,new,8,Auto Ancillaries
2025-08-18,GRASIM,GRASIM,new,9,Cement And Cement Products
2025-11-17,HINDALCO,HINDALCO,kept,1,Aluminium
2025-11-17,BHARTIARTL,BHARTIARTL,kept,3,Telecommunication - Services
2025-11-17,EICHERMOT,EICHERMOT,kept,4,Automobiles - 4 Wheelers
2025-11-17,EIDPARRY,EIDPARRY,kept,8,Sugar
2025-11-17,M&M,M&M,kept,10,Automobiles - 4 Wheelers
2025-11-17,RELIANCE,RELIANCE,kept,13,Refineries
2025-11-17,GRASIM,GRASIM,kept,16,Cement And Cement Products
2025-11-17,HEROMOTOCO,HEROMOTOCO,new,2,Automobiles - 2 And 3 Wheelers
2025-11-17,VEDL,VEDL,new,5,
2025-11-17,IMPAL,IMPAL,new,6,Auto Ancillaries
2026-02-16,HINDALCO,HINDALCO,kept,1,Aluminium
2026-02-16,HEROMOTOCO,HEROMOTOCO,kept,2,Automobiles - 2 And 3 Wheelers
2026-02-16,M&M,M&M,kept,4,Automobiles - 4 Wheelers
2026-02-16,GRASIM,GRASIM,kept,8,Cement And Cement Products
2026-02-16,EICHERMOT,EICHERMOT,kept,12,Automobiles - 4 Wheelers
2026-02-16,BHARTIARTL,BHARTIARTL,kept,18,Telecommunication - Services
2026-02-16,RELIANCE,RELIANCE,kept,20,Refineries
2026-02-16,ASHOKLEY,ASHOKLEY,new,3,Automobiles - 4 Wheelers
2026-02-16,BPCL,BPCL,new,5,Refineries
2026-02-16,IOC,IOC,new,6,Refineries
2026-06-01,HINDALCO,HINDALCO,kept,1,Aluminium
2026-06-01,HEROMOTOCO,HEROMOTOCO,kept,2,Automobiles - 2 And 3 Wheelers
2026-06-01,M&M,M&M,kept,7,Automobiles - 4 Wheelers
2026-06-01,GRASIM,GRASIM,kept,17,Cement And Cement Products
2026-06-01,ONGC,ONGC,new,3,Oil Exploration/Production
2026-06-01,CEIGALL,CEIGALL,new,4,
2026-06-01,COALINDIA,COALINDIA,new,5,Mining
2026-06-01,LUPIN,LUPIN,new,6,Pharmaceuticals
2026-06-01,GESHIP,GESHIP,new,8,Shipping
2026-06-01,RPTECH,RPTECH,new,9,
2026-08-17,HINDALCO,HINDALCO,kept,1,Aluminium
2026-08-17,GESHIP,GESHIP,kept,2,Shipping
2026-08-17,HEROMOTOCO,HEROMOTOCO,kept,6,Automobiles - 2 And 3 Wheelers
2026-08-17,LUPIN,LUPIN,kept,7,Pharmaceuticals
2026-08-17,GRASIM,GRASIM,kept,14,Cement And Cement Products
2026-08-17,COALINDIA,COALINDIA,kept,18,Mining
2026-08-17,BAJAJ-AUTO,BAJAJ-AUTO,new,3,Automobiles - 2 And 3 Wheelers
2026-08-17,AUROPHARMA,AUROPHARMA,new,4,Pharmaceuticals
2026-08-17,GRANULES,GRANULES,new,5,Pharmaceuticals
2026-08-17,OIL,OIL,new,8,Oil Exploration/Production
